Feature,Importance
Fg Pct,0.2909680538148538
Reb,0.10559280561893994
Dreb,0.10017795892298581
Fgm,0.08591750909689043
Ftm,0.07661630792378846
Pf,0.05491120085533143
Stl,0.052085449372931504
Fg3 Pct,0.042738612783165
Tov,0.039268729376634864
Ast,0.03281377081417628
